Date,A,ABT,ADBE,ADM,ADP,AES,AFL,AKAM,AOS,MMM
1/2000,-0.09303532236210617,-0.07436477642625018,-0.19290690275039346,-0.02327027881197519,-0.10149676516046487,0.11052783324296499,-0.032901616846883905,-0.2810295795371524,-0.09707992952916672,-0.008818488903813187
2/2000,0.47323151324913515,0.014013193521243927,0.6473290357559948,-0.15840513462329914,-0.08947748617248878,0.04724397162034033,-0.1788973478170438,0.04989917598336495,-0.14210767164530025,-0.056044410808971885
3/2000,0.0010985291920939046,0.05860225199336273,0.07999537372163365,0.022406948876519818,0.09516125438992956,-0.05688602582359865,0.20092626949766668,-0.44304404252079194,0.038858032693285256,0.0038741831157052447
4/2000,-0.17681667208465557,0.10317267083471314,0.0916618718990494,-0.0409404165918979,0.12059550975286727,0.14681963086404373,0.07615362505808587,-0.5375808391072133,0.15406438107547096,-0.02444873166417071
5/2000,-0.17700099349107193,0.054301423473609854,-0.06850343741705214,0.17967383960256145,0.02083511858766321,-0.028958603506783188,0.05629195573425659,-0.3750429411343928,0.020096370852723002,-0.0035239658136200606
6/2000,0.0016191946967414055,0.0868366528315176,0.13767176497228775,-0.18711739725065382,-0.023823421529861433,0.042787727678157986,-0.11257329604729513,0.5497557144829468,-0.0035575555322875764,-0.031113654678027985
7/2000,-0.6228859525070486,-0.07010883649392756,-0.13330791927213015,-0.047891200760379504,-0.08149521444503147,0.16596015490305144,0.12889703379961334,-0.42968378494599846,-0.2651086184672707,0.08574636559644193
8/2000,0.36833804525774655,0.0485331918784905,0.11591992980185237,-0.005665474859721748,0.16900685672926824,0.15954448339862012,0.037141537422316344,-0.03899250290074582,-0.021483925078384706,0.03497321844599516
9/2000,-0.23134649312449426,0.08735502786477582,0.1865542575782982,-0.024441588662701498,0.12168755346535685,0.0775000111327133,0.18829415815872114,-0.3820418532100566,-0.2374304764434771,-0.021561836509551176
10/2000,-0.052626276655459894,0.10364821324204081,-0.019409959603924554,0.2321747902330303,-0.0225668718990054,-0.18405626433872485,0.11713583927340783,-0.027953970202876308,0.12109531884227986,0.055941229664537226
11/2000,0.11943131031803193,0.041721123857814214,-0.18248600879760288,0.1522177555592973,0.010471466838121272,-0.0854040425967473,-0.0362652600254044,-0.5731878654809665,0.16296086021567996,0.03923000762121784
